"List[[1]]","List[[2]]","List[[3]]","1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[List[[1]], List[[2]], List[[3]], 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[List[[1]]], ""n"", ToString[List[[2]]], ""l"", ToString[List[[3]]]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
1,0,0,-6.768555515788257e-6
1,0,1,-0.0005004451881334261
1,1,0,0.0003902162939501089
1,1,1,-0.000656594251682687
1,2,0,0.00009339696985169319
1,2,1,-0.0007836408169723003
1,3,0,0.0008213159289005158
1,3,1,-0.0007220977953493075
2,0,0,-0.0004674470847064343
2,0,1,-0.00009736121188213034
2,0,2,-0.41759870917443326
2,1,0,-0.0012396038233861305
2,1,1,-0.00008349233042905576
2,1,2,0.11915201753651901
2,2,0,0.00012704813321514808
2,2,1,-0.0002624702059644922
2,2,2,0.004578858448127869
2,3,0,0.000039062286501049704
2,3,1,0.0013646234953500532
2,3,2,-0.00016953619413093471
3,0,0,0.000015460432842693854
3,0,1,0.00020933202086256047
3,0,2,0.0005513124080801467
3,0,3,0.0014667554790943798
3,1,0,0.00016415103061271543
3,1,1,0.00016550453851154972
3,1,2,0.00007573329729041184
3,1,3,-0.0008239268615076064
3,2,0,-0.0004013327155327048
3,2,1,0.000025229956219979065
3,2,2,0.0012962676227068638
3,2,3,-0.0006609044113935342
3,3,0,-0.00021320823359379646
3,3,1,-0.0006451305332179194
3,3,2,-0.0007897783861169106
3,3,3,0.0003841059415562709
