"{-3.1315926535897933, 0.01, 0.11579733853272328}","{-3.1315926535897933, 0.11, 0.14981333994644247}","{-3.1315926535897933, 0.21000000000000002, 0.14714925305721271}","{-3.1315926535897933, 0.31000000000000005, 0.11282625949249206}","{-3.1315926535897933, 0.41000000000000003, 0.06446640083263985}","{-3.1315926535897933, 0.51, 0.0288284073394547}","{-3.1315926535897933, 0.6100000000000001, -0.003487672062368337}","{-3.1315926535897933, 0.7100000000000001, -0.0888078681925844}","{-3.1315926535897933, 0.81, -0.1267927773842853}","{-3.1315926535897933, 0.91, -0.20751767176641986}","{-3.1315926535897933, 1.01, -0.2768459530055807}","{-3.1315926535897933, 1.11, -0.4124762822110225}","{-3.1315926535897933, 1.2100000000000002, -0.5079431766035499}","{-3.1315926535897933, 1.31, -0.6298382331990893}","{-3.1315926535897933, 1.4100000000000001, -0.6980680891816721}","{-3.1315926535897933, 1.51, -0.8038588384065487}","{-3.1315926535897933, 1.61, -1.0248069700458553}","{-3.1315926535897933, 1.7100000000000002, -1.1387736859061075}","{-3.1315926535897933, 1.81, -1.2986206238985156}","{-3.1315926535897933, 1.9100000000000001, -1.4095805953186622}","{-3.1315926535897933, 2.01, -1.5787107792166686}","{-3.1315926535897933, 2.11, -1.6613239860353617}","{-3.1315926535897933, 2.21, -1.821408336263388}","{-3.1315926535897933, 2.31, -1.919135980127404}","{-3.1315926535897933, 2.41, -1.9569792947809694}","{-3.1315926535897933, 2.51, -2.029179253526082}","{-3.1315926535897933, 2.61, -2.1491909867550154}","{-3.1315926535897933, 2.71, -2.270999382157692}","{-3.1315926535897933, 2.81, -2.244966389877024}","{-3.1315926535897933, 2.91, -2.2926264140953654}","{-3.1315926535897933, 3.01, -2.319025306524896}","{-3.1315926535897933, 3.11, -2.341022373742218}"
"{-3.0315926535897932, 0.01, 0.10592217102420881}","{-3.0315926535897932, 0.11, 0.09705167129835952}","{-3.0315926535897932, 0.21000000000000002, 0.09989349986635657}","{-3.0315926535897932, 0.31000000000000005, 0.06634898316382554}","{-3.0315926535897932, 0.41000000000000003, 0.06301223825737805}","{-3.0315926535897932, 0.51, -0.00708644030032006}","{-3.0315926535897932, 0.6100000000000001, -0.08801026586896388}","{-3.0315926535897932, 0.7100000000000001, -0.1742824162863362}","{-3.0315926535897932, 0.81, -0.24859494604637192}","{-3.0315926535897932, 0.91, -0.3279986481882182}","{-3.0315926535897932, 1.01, -0.47456219024817725}","{-3.0315926535897932, 1.11, -0.4715200809886112}","{-3.0315926535897932, 1.2100000000000002, -0.602478157024566}","{-3.0315926535897932, 1.31, -0.7096606316441831}","{-3.0315926535897932, 1.4100000000000001, -0.8698981993199788}","{-3.0315926535897932, 1.51, -0.9969494242029325}","{-3.0315926535897932, 1.61, -1.1477776246347244}","{-3.0315926535897932, 1.7100000000000002, -1.2724406712100642}","{-3.0315926535897932, 1.81, -1.4028852350591419}","{-3.0315926535897932, 1.9100000000000001, -1.5109593896525175}","{-3.0315926535897932, 2.01, -1.6623323041236082}","{-3.0315926535897932, 2.11, -1.7486364875588583}","{-3.0315926535897932, 2.21, -1.8352858754572385}","{-3.0315926535897932, 2.31, -1.915330405572394}","{-3.0315926535897932, 2.41, -2.007182532947448}","{-3.0315926535897932, 2.51, -2.0439573641025515}","{-3.0315926535897932, 2.61, -2.165123240172992}","{-3.0315926535897932, 2.71, -2.2133717057498763}","{-3.0315926535897932, 2.81, -2.2143221446042256}","{-3.0315926535897932, 2.91, -2.275763357844339}","{-3.0315926535897932, 3.01, -2.302936343230146}","{-3.0315926535897932, 3.11, -2.2672722398313727}"
"{-2.931592653589793, 0.01, 0.09613292097663209}","{-2.931592653589793, 0.11, 0.057232691629481434}","{-2.931592653589793, 0.21000000000000002, 0.07142889314291136}","{-2.931592653589793, 0.31000000000000005, -0.01800393119786478}","{-2.931592653589793, 0.41000000000000003, -0.025928227748755632}","{-2.931592653589793, 0.51, -0.10466105964329225}","{-2.931592653589793, 0.6100000000000001, -0.15115446381446374}","{-2.931592653589793, 0.7100000000000001, -0.2205651025836689}","{-2.931592653589793, 0.81, -0.31713024449218913}","{-2.931592653589793, 0.91, -0.42387329381992145}","{-2.931592653589793, 1.01, -0.5205540254623405}","{-2.931592653589793, 1.11, -0.6160673841341988}","{-2.931592653589793, 1.2100000000000002, -0.7494529740765836}","{-2.931592653589793, 1.31, -0.8644341264472841}","{-2.931592653589793, 1.4100000000000001, -0.9604413275080765}","{-2.931592653589793, 1.51, -1.135698144654358}","{-2.931592653589793, 1.61, -1.2426496915007237}","{-2.931592653589793, 1.7100000000000002, -1.4017013329228165}","{-2.931592653589793, 1.81, -1.5213102388560014}","{-2.931592653589793, 1.9100000000000001, -1.6126045773319313}","{-2.931592653589793, 2.01, -1.7646914576630368}","{-2.931592653589793, 2.11, -1.891551633311329}","{-2.931592653589793, 2.21, -1.9911461050602899}","{-2.931592653589793, 2.31, -2.0681274637411073}","{-2.931592653589793, 2.41, -2.0925766579367764}","{-2.931592653589793, 2.51, -2.1175391866958666}","{-2.931592653589793, 2.61, -2.1486069342751413}","{-2.931592653589793, 2.71, -2.218980965268117}","{-2.931592653589793, 2.81, -2.283338619161008}","{-2.931592653589793, 2.91, -2.2433709248986817}","{-2.931592653589793, 3.01, -2.254404442506862}","{-2.931592653589793, 3.11, -2.246027571464503}"
"{-2.831592653589793, 0.01, 0.04671778195744318}","{-2.831592653589793, 0.11, 0.023591261864186898}","{-2.831592653589793, 0.21000000000000002, 0.026204300850254977}","{-2.831592653589793, 0.31000000000000005, -0.059140820026186265}","{-2.831592653589793, 0.41000000000000003, -0.05849716428902893}","{-2.831592653589793, 0.51, -0.14228706479028647}","{-2.831592653589793, 0.6100000000000001, -0.19387848813098787}","{-2.831592653589793, 0.7100000000000001, -0.3028425686200234}","{-2.831592653589793, 0.81, -0.3442938715104429}","{-2.831592653589793, 0.91, -0.5238866249883237}","{-2.831592653589793, 1.01, -0.6013943984578621}","{-2.831592653589793, 1.11, -0.7007442802793591}","{-2.831592653589793, 1.2100000000000002, -0.909179290936526}","{-2.831592653589793, 1.31, -0.9998520885268181}","{-2.831592653589793, 1.4100000000000001, -1.110436544646706}","{-2.831592653589793, 1.51, -1.2657897060611134}","{-2.831592653589793, 1.61, -1.4094502453262305}","{-2.831592653589793, 1.7100000000000002, -1.5316047699056854}","{-2.831592653589793, 1.81, -1.6789965608947337}","{-2.831592653589793, 1.9100000000000001, -1.7282407077195483}","{-2.831592653589793, 2.01, -1.8522348700606666}","{-2.831592653589793, 2.11, -1.9453154491061033}","{-2.831592653589793, 2.21, -2.0140336922133786}","{-2.831592653589793, 2.31, -2.0798464347090038}","{-2.831592653589793, 2.41, -2.1076261693298872}","{-2.831592653589793, 2.51, -2.155481468949189}","{-2.831592653589793, 2.61, -2.167004596956387}","{-2.831592653589793, 2.71, -2.25275850012495}","{-2.831592653589793, 2.81, -2.191432036000266}","{-2.831592653589793, 2.91, -2.2367675926551427}","{-2.831592653589793, 3.01, -2.214038552437448}","{-2.831592653589793, 3.11, -2.2161294654351114}"
"{-2.7315926535897934, 0.01, 0.009474872183661885}","{-2.7315926535897934, 0.11, -0.004734277961758088}","{-2.7315926535897934, 0.21000000000000002, -0.019147680726010308}","{-2.7315926535897934, 0.31000000000000005, -0.08791930138410345}","{-2.7315926535897934, 0.41000000000000003, -0.13362293017125365}","{-2.7315926535897934, 0.51, -0.19159396758490022}","{-2.7315926535897934, 0.6100000000000001, -0.27226841610020724}","{-2.7315926535897934, 0.7100000000000001, -0.3452025516317789}","{-2.7315926535897934, 0.81, -0.43472378288686464}","{-2.7315926535897934, 0.91, -0.5896689012490728}","{-2.7315926535897934, 1.01, -0.6853103011345699}","{-2.7315926535897934, 1.11, -0.8192862681341871}","{-2.7315926535897934, 1.2100000000000002, -0.9215695697890947}","{-2.7315926535897934, 1.31, -1.134957507080043}","{-2.7315926535897934, 1.4100000000000001, -1.2892996216933712}","{-2.7315926535897934, 1.51, -1.4467941333257723}","{-2.7315926535897934, 1.61, -1.587716629712712}","{-2.7315926535897934, 1.7100000000000002, -1.6752803620710606}","{-2.7315926535897934, 1.81, -1.8306767012330734}","{-2.7315926535897934, 1.9100000000000001, -1.9411305268410934}","{-2.7315926535897934, 2.01, -2.013784024217075}","{-2.7315926535897934, 2.11, -2.0703528590300184}","{-2.7315926535897934, 2.21, -2.109184523299054}","{-2.7315926535897934, 2.31, -2.1711740085802034}","{-2.7315926535897934, 2.41, -2.1613660663900522}","{-2.7315926535897934, 2.51, -2.2384600473165213}","{-2.7315926535897934, 2.61, -2.2129865006393823}","{-2.7315926535897934, 2.71, -2.2317289554103623}","{-2.7315926535897934, 2.81, -2.2155546187196595}","{-2.7315926535897934, 2.91, -2.2228608031563333}","{-2.7315926535897934, 3.01, -2.2381103825216484}","{-2.7315926535897934, 3.11, -2.23963925744085}"
"{-2.6315926535897933, 0.01, -0.04184377672199066}","{-2.6315926535897933, 0.11, -0.04990662123549314}","{-2.6315926535897933, 0.21000000000000002, -0.06514680317479393}","{-2.6315926535897933, 0.31000000000000005, -0.11898195262368975}","{-2.6315926535897933, 0.41000000000000003, -0.17863869166014978}","{-2.6315926535897933, 0.51, -0.22030148118595638}","{-2.6315926535897933, 0.6100000000000001, -0.28731158980332794}","{-2.6315926535897933, 0.7100000000000001, -0.4027740466152431}","{-2.6315926535897933, 0.81, -0.5332004514019126}","{-2.6315926535897933, 0.91, -0.6963367434794707}","{-2.6315926535897933, 1.01, -0.7821586480857283}","{-2.6315926535897933, 1.11, -0.9711853776091948}","{-2.6315926535897933, 1.2100000000000002, -1.082993409569688}","{-2.6315926535897933, 1.31, -1.2718651300705295}","{-2.6315926535897933, 1.4100000000000001, -1.4563163439323659}","{-2.6315926535897933, 1.51, -1.5676894667607366}","{-2.6315926535897933, 1.61, -1.7121635935676522}","{-2.6315926535897933, 1.7100000000000002, -1.8414450928216843}","{-2.6315926535897933, 1.81, -1.924046536663875}","{-2.6315926535897933, 1.9100000000000001, -1.9410604938876368}","{-2.6315926535897933, 2.01, -2.1255161289752778}","{-2.6315926535897933, 2.11, -2.18599418266186}","{-2.6315926535897933, 2.21, -2.244085788564574}","{-2.6315926535897933, 2.31, -2.2271749085306496}","{-2.6315926535897933, 2.41, -2.2604376252015306}","{-2.6315926535897933, 2.51, -2.238114983263001}","{-2.6315926535897933, 2.61, -2.2892467702423067}","{-2.6315926535897933, 2.71, -2.19863470290486}","{-2.6315926535897933, 2.81, -2.2382498047404598}","{-2.6315926535897933, 2.91, -2.2224898356009204}","{-2.6315926535897933, 3.01, -2.224476795727382}","{-2.6315926535897933, 3.11, -2.1728282984423357}"
"{-2.5315926535897932, 0.01, -0.07997265659336818}","{-2.5315926535897932, 0.11, -0.0793530361626925}","{-2.5315926535897932, 0.21000000000000002, -0.10850347905240769}","{-2.5315926535897932, 0.31000000000000005, -0.15059709924677167}","{-2.5315926535897932, 0.41000000000000003, -0.23012928498032975}","{-2.5315926535897932, 0.51, -0.29530373693065887}","{-2.5315926535897932, 0.6100000000000001, -0.4035278316354022}","{-2.5315926535897932, 0.7100000000000001, -0.4845090879286557}","{-2.5315926535897932, 0.81, -0.611675638562699}","{-2.5315926535897932, 0.91, -0.755265651758866}","{-2.5315926535897932, 1.01, -0.968196585279933}","{-2.5315926535897932, 1.11, -1.0737314788478374}","{-2.5315926535897932, 1.2100000000000002, -1.2226867028127164}","{-2.5315926535897932, 1.31, -1.4206287313135215}","{-2.5315926535897932, 1.4100000000000001, -1.568360599323614}","{-2.5315926535897932, 1.51, -1.6856421963879715}","{-2.5315926535897932, 1.61, -1.840379848328361}","{-2.5315926535897932, 1.7100000000000002, -1.9844551509449273}","{-2.5315926535897932, 1.81, -2.137618750289663}","{-2.5315926535897932, 1.9100000000000001, -2.200987938918039}","{-2.5315926535897932, 2.01, -2.214434630158655}","{-2.5315926535897932, 2.11, -2.305551738639347}","{-2.5315926535897932, 2.21, -2.2839447499907517}","{-2.5315926535897932, 2.31, -2.312350091290127}","{-2.5315926535897932, 2.41, -2.295011068307258}","{-2.5315926535897932, 2.51, -2.3151318840922905}","{-2.5315926535897932, 2.61, -2.282015170288849}","{-2.5315926535897932, 2.71, -2.237719097195365}","{-2.5315926535897932, 2.81, -2.214338781489327}","{-2.5315926535897932, 2.91, -2.211102320812464}","{-2.5315926535897932, 3.01, -2.204680236259806}","{-2.5315926535897932, 3.11, -2.162306328259346}"
"{-2.431592653589793, 0.01, -0.0955266885619894}","{-2.431592653589793, 0.11, -0.1327660523551348}","{-2.431592653589793, 0.21000000000000002, -0.16495707912382654}","{-2.431592653589793, 0.31000000000000005, -0.22077960279724332}","{-2.431592653589793, 0.41000000000000003, -0.25387323498790293}","{-2.431592653589793, 0.51, -0.33339641584553914}","{-2.431592653589793, 0.6100000000000001, -0.45141038413200973}","{-2.431592653589793, 0.7100000000000001, -0.5579613349112325}","{-2.431592653589793, 0.81, -0.7099910370419953}","{-2.431592653589793, 0.91, -0.8556521023422571}","{-2.431592653589793, 1.01, -1.0508183323254285}","{-2.431592653589793, 1.11, -1.1731684693109348}","{-2.431592653589793, 1.2100000000000002, -1.3697270068316922}","{-2.431592653589793, 1.31, -1.569537199809738}","{-2.431592653589793, 1.4100000000000001, -1.7253227822648447}","{-2.431592653589793, 1.51, -1.85625694823369}","{-2.431592653589793, 1.61, -1.992887916097207}","{-2.431592653589793, 1.7100000000000002, -2.1532672313619496}","{-2.431592653589793, 1.81, -2.2609467053188785}","{-2.431592653589793, 1.9100000000000001, -2.3208682207084874}","{-2.431592653589793, 2.01, -2.3812929733945025}","{-2.431592653589793, 2.11, -2.4114891259181244}","{-2.431592653589793, 2.21, -2.381327049512241}","{-2.431592653589793, 2.31, -2.4622241606293986}","{-2.431592653589793, 2.41, -2.453484636984508}","{-2.431592653589793, 2.51, -2.3683486616436644}","{-2.431592653589793, 2.61, -2.3358174518373636}","{-2.431592653589793, 2.71, -2.3218654520828252}","{-2.431592653589793, 2.81, -2.1972278565539014}","{-2.431592653589793, 2.91, -2.193698955219646}","{-2.431592653589793, 3.01, -2.1793034778973217}","{-2.431592653589793, 3.11, -2.186514659087436}"
"{-2.3315926535897935, 0.01, -0.146496172801101}","{-2.3315926535897935, 0.11, -0.16600150031573105}","{-2.3315926535897935, 0.21000000000000002, -0.1964658714518801}","{-2.3315926535897935, 0.31000000000000005, -0.22971138326493498}","{-2.3315926535897935, 0.41000000000000003, -0.3520182204269384}","{-2.3315926535897935, 0.51, -0.39417864908500494}","{-2.3315926535897935, 0.6100000000000001, -0.5369491307911564}","{-2.3315926535897935, 0.7100000000000001, -0.617178662710935}","{-2.3315926535897935, 0.81, -0.7783293528778019}","{-2.3315926535897935, 0.91, -0.9686524957850267}","{-2.3315926535897935, 1.01, -1.0988264707194224}","{-2.3315926535897935, 1.11, -1.2862415252983697}","{-2.3315926535897935, 1.2100000000000002, -1.4886982895168592}","{-2.3315926535897935, 1.31, -1.7024785200431252}","{-2.3315926535897935, 1.4100000000000001, -1.8638975340476653}","{-2.3315926535897935, 1.51, -2.0006279968834324}","{-2.3315926535897935, 1.61, -2.2028745939642302}","{-2.3315926535897935, 1.7100000000000002, -2.2822686367216534}","{-2.3315926535897935, 1.81, -2.4024030141553245}","{-2.3315926535897935, 1.9100000000000001, -2.4901348297700925}","{-2.3315926535897935, 2.01, -2.5267014159193417}","{-2.3315926535897935, 2.11, -2.5263707631029737}","{-2.3315926535897935, 2.21, -2.5665152418914827}","{-2.3315926535897935, 2.31, -2.4845977911056734}","{-2.3315926535897935, 2.41, -2.5772267765474908}","{-2.3315926535897935, 2.51, -2.413298774366199}","{-2.3315926535897935, 2.61, -2.3667172640233165}","{-2.3315926535897935, 2.71, -2.2613134158990724}","{-2.3315926535897935, 2.81, -2.2542806922727823}","{-2.3315926535897935, 2.91, -2.264523675027123}","{-2.3315926535897935, 3.01, -2.156180269155233}","{-2.3315926535897935, 3.11, -2.149702848149391}"
"{-2.2315926535897934, 0.01, -0.20738366054832288}","{-2.2315926535897934, 0.11, -0.21856253492934483}","{-2.2315926535897934, 0.21000000000000002, -0.2421446028576299}","{-2.2315926535897934, 0.31000000000000005, -0.3046764839009545}","{-2.2315926535897934, 0.41000000000000003, -0.3664764055357531}","{-2.2315926535897934, 0.51, -0.48431728188119016}","{-2.2315926535897934, 0.6100000000000001, -0.6070277918819553}","{-2.2315926535897934, 0.7100000000000001, -0.7089888749276084}","{-2.2315926535897934, 0.81, -0.8998038360273096}","{-2.2315926535897934, 0.91, -1.0382082228469411}","{-2.2315926535897934, 1.01, -1.247857072318127}","{-2.2315926535897934, 1.11, -1.42662348729582}","{-2.2315926535897934, 1.2100000000000002, -1.6285368972401015}","{-2.2315926535897934, 1.31, -1.8445350174385526}","{-2.2315926535897934, 1.4100000000000001, -1.9994846824827692}","{-2.2315926535897934, 1.51, -2.205995905640119}","{-2.2315926535897934, 1.61, -2.29804535466583}","{-2.2315926535897934, 1.7100000000000002, -2.419125193312466}","{-2.2315926535897934, 1.81, -2.5320987949001363}","{-2.2315926535897934, 1.9100000000000001, -2.624519303965734}","{-2.2315926535897934, 2.01, -2.6604767897023347}","{-2.2315926535897934, 2.11, -2.6328926457463773}","{-2.2315926535897934, 2.21, -2.6439213982055474}","{-2.2315926535897934, 2.31, -2.592546956660299}","{-2.2315926535897934, 2.41, -2.489568948276163}","{-2.2315926535897934, 2.51, -2.5436412603988545}","{-2.2315926535897934, 2.61, -2.4006037291018663}","{-2.2315926535897934, 2.71, -2.306734432537653}","{-2.2315926535897934, 2.81, -2.302562933755533}","{-2.2315926535897934, 2.91, -2.204882921935689}","{-2.2315926535897934, 3.01, -2.2013150703381967}","{-2.2315926535897934, 3.11, -2.21654011687263}"
