"{-3.1315926535897933, 0.01, 0.26918105360108974}","{-3.1315926535897933, 0.11, 0.28148126386086075}","{-3.1315926535897933, 0.21000000000000002, 0.28008979410059553}","{-3.1315926535897933, 0.31000000000000005, 0.30522472011086754}","{-3.1315926535897933, 0.41000000000000003, 0.30741857338521733}","{-3.1315926535897933, 0.51, 0.30572524912906274}","{-3.1315926535897933, 0.6100000000000001, 0.300716018954231}","{-3.1315926535897933, 0.7100000000000001, 0.34550712293433233}","{-3.1315926535897933, 0.81, 0.3228778439223393}","{-3.1315926535897933, 0.91, 0.35921119536036733}","{-3.1315926535897933, 1.01, 0.3124568216540492}","{-3.1315926535897933, 1.11, 0.34025902040524725}","{-3.1315926535897933, 1.2100000000000002, 0.33015538859322635}","{-3.1315926535897933, 1.31, 0.28893204058306887}","{-3.1315926535897933, 1.4100000000000001, 0.20408432821546973}","{-3.1315926535897933, 1.51, 0.12094531183533731}","{-3.1315926535897933, 1.61, -0.0007302498299845556}","{-3.1315926535897933, 1.7100000000000002, -0.11778532889115334}","{-3.1315926535897933, 1.81, -0.3204526653736002}","{-3.1315926535897933, 1.9100000000000001, -0.4763730060483278}","{-3.1315926535897933, 2.01, -0.6372196372534589}","{-3.1315926535897933, 2.11, -0.8746222527407228}","{-3.1315926535897933, 2.21, -1.038334115101914}","{-3.1315926535897933, 2.31, -1.253422814960738}","{-3.1315926535897933, 2.41, -1.414445714389581}","{-3.1315926535897933, 2.51, -1.5960958536824794}","{-3.1315926535897933, 2.61, -1.7856060056904037}","{-3.1315926535897933, 2.71, -1.8524465333155145}","{-3.1315926535897933, 2.81, -2.028315702952668}","{-3.1315926535897933, 2.91, -2.094813425844297}","{-3.1315926535897933, 3.01, -2.1079030305929436}","{-3.1315926535897933, 3.11, -2.1863993605369982}"
"{-3.0315926535897932, 0.01, 0.25163230177991913}","{-3.0315926535897932, 0.11, 0.30195934447788025}","{-3.0315926535897932, 0.21000000000000002, 0.23114748443558203}","{-3.0315926535897932, 0.31000000000000005, 0.27149052943335744}","{-3.0315926535897932, 0.41000000000000003, 0.25541573603561646}","{-3.0315926535897932, 0.51, 0.2846852299533502}","{-3.0315926535897932, 0.6100000000000001, 0.3262488898978949}","{-3.0315926535897932, 0.7100000000000001, 0.3382704322114703}","{-3.0315926535897932, 0.81, 0.31870700641365624}","{-3.0315926535897932, 0.91, 0.3589678545723931}","{-3.0315926535897932, 1.01, 0.3267190670211899}","{-3.0315926535897932, 1.11, 0.30840867846473075}","{-3.0315926535897932, 1.2100000000000002, 0.285342946754112}","{-3.0315926535897932, 1.31, 0.2565628349675557}","{-3.0315926535897932, 1.4100000000000001, 0.2115932948841429}","{-3.0315926535897932, 1.51, 0.059583622640659084}","{-3.0315926535897932, 1.61, -0.006209520439574637}","{-3.0315926535897932, 1.7100000000000002, -0.11801873463211487}","{-3.0315926535897932, 1.81, -0.28492988316930445}","{-3.0315926535897932, 1.9100000000000001, -0.43905449755099174}","{-3.0315926535897932, 2.01, -0.6089454478564498}","{-3.0315926535897932, 2.11, -0.8345667000226895}","{-3.0315926535897932, 2.21, -1.049107488357629}","{-3.0315926535897932, 2.31, -1.2756893113226533}","{-3.0315926535897932, 2.41, -1.4907333692827733}","{-3.0315926535897932, 2.51, -1.6449471416058268}","{-3.0315926535897932, 2.61, -1.7851721235409728}","{-3.0315926535897932, 2.71, -1.905198742163714}","{-3.0315926535897932, 2.81, -2.012312197356659}","{-3.0315926535897932, 2.91, -2.067574464895668}","{-3.0315926535897932, 3.01, -2.1640413992353054}","{-3.0315926535897932, 3.11, -2.1520238400977547}"
"{-2.931592653589793, 0.01, 0.26875249570431053}","{-2.931592653589793, 0.11, 0.2755190689233356}","{-2.931592653589793, 0.21000000000000002, 0.28643001487143904}","{-2.931592653589793, 0.31000000000000005, 0.2580986851914626}","{-2.931592653589793, 0.41000000000000003, 0.26117069931287457}","{-2.931592653589793, 0.51, 0.2852064717482495}","{-2.931592653589793, 0.6100000000000001, 0.24265435979568076}","{-2.931592653589793, 0.7100000000000001, 0.2728970574132831}","{-2.931592653589793, 0.81, 0.27190349833008015}","{-2.931592653589793, 0.91, 0.2705637409740913}","{-2.931592653589793, 1.01, 0.2777075336141336}","{-2.931592653589793, 1.11, 0.28567481066053885}","{-2.931592653589793, 1.2100000000000002, 0.24174821902291355}","{-2.931592653589793, 1.31, 0.20554770258622157}","{-2.931592653589793, 1.4100000000000001, 0.12747623933947363}","{-2.931592653589793, 1.51, 0.01626877693551369}","{-2.931592653589793, 1.61, -0.07617604121400295}","{-2.931592653589793, 1.7100000000000002, -0.22516067551739688}","{-2.931592653589793, 1.81, -0.38101913455266023}","{-2.931592653589793, 1.9100000000000001, -0.5306695021408557}","{-2.931592653589793, 2.01, -0.6994444422669941}","{-2.931592653589793, 2.11, -0.9206464254308999}","{-2.931592653589793, 2.21, -1.0859888069176256}","{-2.931592653589793, 2.31, -1.3276663083523004}","{-2.931592653589793, 2.41, -1.4134739303243706}","{-2.931592653589793, 2.51, -1.685307150358649}","{-2.931592653589793, 2.61, -1.8148236180705735}","{-2.931592653589793, 2.71, -1.9235342745446906}","{-2.931592653589793, 2.81, -2.0161552391866047}","{-2.931592653589793, 2.91, -2.071760631731115}","{-2.931592653589793, 3.01, -2.141455932125909}","{-2.931592653589793, 3.11, -2.2051788246339825}"
"{-2.831592653589793, 0.01, 0.24547751987264085}","{-2.831592653589793, 0.11, 0.2416569264268703}","{-2.831592653589793, 0.21000000000000002, 0.2573467336737978}","{-2.831592653589793, 0.31000000000000005, 0.2730939306613122}","{-2.831592653589793, 0.41000000000000003, 0.2190870051926975}","{-2.831592653589793, 0.51, 0.22579678185612734}","{-2.831592653589793, 0.6100000000000001, 0.2718149515494997}","{-2.831592653589793, 0.7100000000000001, 0.23833893683598337}","{-2.831592653589793, 0.81, 0.2904655848219921}","{-2.831592653589793, 0.91, 0.19676212771208595}","{-2.831592653589793, 1.01, 0.24793155433062}","{-2.831592653589793, 1.11, 0.15580835596950107}","{-2.831592653589793, 1.2100000000000002, 0.2009549785970106}","{-2.831592653589793, 1.31, 0.08193194020299335}","{-2.831592653589793, 1.4100000000000001, 0.008485288385705631}","{-2.831592653589793, 1.51, -0.05565442751753581}","{-2.831592653589793, 1.61, -0.16885776994910617}","{-2.831592653589793, 1.7100000000000002, -0.30949924175484494}","{-2.831592653589793, 1.81, -0.5124578704802905}","{-2.831592653589793, 1.9100000000000001, -0.6403877781970417}","{-2.831592653589793, 2.01, -0.830661667960203}","{-2.831592653589793, 2.11, -0.988378067470005}","{-2.831592653589793, 2.21, -1.1534398069697867}","{-2.831592653589793, 2.31, -1.3676928081098365}","{-2.831592653589793, 2.41, -1.5444548333729762}","{-2.831592653589793, 2.51, -1.6908465698315502}","{-2.831592653589793, 2.61, -1.839130570396999}","{-2.831592653589793, 2.71, -1.9977508330564784}","{-2.831592653589793, 2.81, -2.046990269409863}","{-2.831592653589793, 2.91, -2.1452601368787647}","{-2.831592653589793, 3.01, -2.1795131453020216}","{-2.831592653589793, 3.11, -2.23522177853272}"
"{-2.7315926535897934, 0.01, 0.21050465164565213}","{-2.7315926535897934, 0.11, 0.23194972773820954}","{-2.7315926535897934, 0.21000000000000002, 0.24117486019189865}","{-2.7315926535897934, 0.31000000000000005, 0.20737171262075915}","{-2.7315926535897934, 0.41000000000000003, 0.2238825034224561}","{-2.7315926535897934, 0.51, 0.22325222496558192}","{-2.7315926535897934, 0.6100000000000001, 0.21268705525767814}","{-2.7315926535897934, 0.7100000000000001, 0.2087405182330327}","{-2.7315926535897934, 0.81, 0.16442756829912034}","{-2.7315926535897934, 0.91, 0.11519507433880329}","{-2.7315926535897934, 1.01, 0.12163590922187163}","{-2.7315926535897934, 1.11, 0.08187895676452855}","{-2.7315926535897934, 1.2100000000000002, 0.06456182709714217}","{-2.7315926535897934, 1.31, -0.08130434828295274}","{-2.7315926535897934, 1.4100000000000001, -0.11815066314085931}","{-2.7315926535897934, 1.51, -0.1958927992943259}","{-2.7315926535897934, 1.61, -0.29625330856218823}","{-2.7315926535897934, 1.7100000000000002, -0.4105489552844627}","{-2.7315926535897934, 1.81, -0.6193592889826904}","{-2.7315926535897934, 1.9100000000000001, -0.8097283913181883}","{-2.7315926535897934, 2.01, -0.9045267869794054}","{-2.7315926535897934, 2.11, -1.1353857689086704}","{-2.7315926535897934, 2.21, -1.242916163293338}","{-2.7315926535897934, 2.31, -1.470229320595547}","{-2.7315926535897934, 2.41, -1.590986847865051}","{-2.7315926535897934, 2.51, -1.7596162888876057}","{-2.7315926535897934, 2.61, -1.8639255103712222}","{-2.7315926535897934, 2.71, -1.9987522079817484}","{-2.7315926535897934, 2.81, -2.0485782580300596}","{-2.7315926535897934, 2.91, -2.1460029829520053}","{-2.7315926535897934, 3.01, -2.195679190918369}","{-2.7315926535897934, 3.11, -2.2226274259657997}"
"{-2.6315926535897933, 0.01, 0.24790480544164017}","{-2.6315926535897933, 0.11, 0.19540567000589248}","{-2.6315926535897933, 0.21000000000000002, 0.22869034731971855}","{-2.6315926535897933, 0.31000000000000005, 0.20685232729410646}","{-2.6315926535897933, 0.41000000000000003, 0.17793352909498106}","{-2.6315926535897933, 0.51, 0.1464528602204648}","{-2.6315926535897933, 0.6100000000000001, 0.1628628243616077}","{-2.6315926535897933, 0.7100000000000001, 0.12919032441925818}","{-2.6315926535897933, 0.81, 0.10454901877225874}","{-2.6315926535897933, 0.91, 0.07516565244188304}","{-2.6315926535897933, 1.01, -0.015668769563937035}","{-2.6315926535897933, 1.11, -0.0399296855246795}","{-2.6315926535897933, 1.2100000000000002, -0.04885123391521856}","{-2.6315926535897933, 1.31, -0.154758478612117}","{-2.6315926535897933, 1.4100000000000001, -0.1904677423625983}","{-2.6315926535897933, 1.51, -0.3881705763999388}","{-2.6315926535897933, 1.61, -0.4853171688741726}","{-2.6315926535897933, 1.7100000000000002, -0.6319220689026099}","{-2.6315926535897933, 1.81, -0.766236457558719}","{-2.6315926535897933, 1.9100000000000001, -0.9440313519239086}","{-2.6315926535897933, 2.01, -1.089651164852609}","{-2.6315926535897933, 2.11, -1.2568770488598089}","{-2.6315926535897933, 2.21, -1.3806576104220714}","{-2.6315926535897933, 2.31, -1.4987547700421429}","{-2.6315926535897933, 2.41, -1.6774420844520264}","{-2.6315926535897933, 2.51, -1.8442254028380392}","{-2.6315926535897933, 2.61, -1.946819103680284}","{-2.6315926535897933, 2.71, -2.026006330189894}","{-2.6315926535897933, 2.81, -2.143342442770867}","{-2.6315926535897933, 2.91, -2.1727840829690783}","{-2.6315926535897933, 3.01, -2.1897389036598405}","{-2.6315926535897933, 3.11, -2.2424517121450602}"
"{-2.5315926535897932, 0.01, 0.18816057266355363}","{-2.5315926535897932, 0.11, 0.20519567459390226}","{-2.5315926535897932, 0.21000000000000002, 0.18930657742768972}","{-2.5315926535897932, 0.31000000000000005, 0.1540664604301687}","{-2.5315926535897932, 0.41000000000000003, 0.11882593273759665}","{-2.5315926535897932, 0.51, 0.09175178178300067}","{-2.5315926535897932, 0.6100000000000001, 0.08623117168654605}","{-2.5315926535897932, 0.7100000000000001, 0.038149902699279384}","{-2.5315926535897932, 0.81, 0.028836988459227605}","{-2.5315926535897932, 0.91, -0.042547318786914916}","{-2.5315926535897932, 1.01, -0.08243191533563082}","{-2.5315926535897932, 1.11, -0.1822052306467553}","{-2.5315926535897932, 1.2100000000000002, -0.22919418515632856}","{-2.5315926535897932, 1.31, -0.31809316995520254}","{-2.5315926535897932, 1.4100000000000001, -0.39724996956024305}","{-2.5315926535897932, 1.51, -0.49592874644602913}","{-2.5315926535897932, 1.61, -0.6204044394921482}","{-2.5315926535897932, 1.7100000000000002, -0.7782952226600155}","{-2.5315926535897932, 1.81, -0.8998067758534459}","{-2.5315926535897932, 1.9100000000000001, -1.0919968624105565}","{-2.5315926535897932, 2.01, -1.2007884276902798}","{-2.5315926535897932, 2.11, -1.3972718181672368}","{-2.5315926535897932, 2.21, -1.5275007732195793}","{-2.5315926535897932, 2.31, -1.6351667228272158}","{-2.5315926535897932, 2.41, -1.8166110607423396}","{-2.5315926535897932, 2.51, -1.8919164678811728}","{-2.5315926535897932, 2.61, -1.9619764679920924}","{-2.5315926535897932, 2.71, -2.1090920706265623}","{-2.5315926535897932, 2.81, -2.1320872854561124}","{-2.5315926535897932, 2.91, -2.2212763043948573}","{-2.5315926535897932, 3.01, -2.2416411879795}","{-2.5315926535897932, 3.11, -2.2858127088965134}"
"{-2.431592653589793, 0.01, 0.19792285404423826}","{-2.431592653589793, 0.11, 0.17109107615937508}","{-2.431592653589793, 0.21000000000000002, 0.12840143886563163}","{-2.431592653589793, 0.31000000000000005, 0.09648584631440577}","{-2.431592653589793, 0.41000000000000003, 0.0946963330019904}","{-2.431592653589793, 0.51, 0.07425728556965147}","{-2.431592653589793, 0.6100000000000001, 0.03087663814702016}","{-2.431592653589793, 0.7100000000000001, -0.05314308778147303}","{-2.431592653589793, 0.81, -0.08967224116822434}","{-2.431592653589793, 0.91, -0.08429908078228711}","{-2.431592653589793, 1.01, -0.21392869900777808}","{-2.431592653589793, 1.11, -0.3229085724487146}","{-2.431592653589793, 1.2100000000000002, -0.3440694336496495}","{-2.431592653589793, 1.31, -0.4129739779257471}","{-2.431592653589793, 1.4100000000000001, -0.5473428076826846}","{-2.431592653589793, 1.51, -0.7541903119392578}","{-2.431592653589793, 1.61, -0.8371870752075488}","{-2.431592653589793, 1.7100000000000002, -1.0042943332557872}","{-2.431592653589793, 1.81, -1.1751775943220992}","{-2.431592653589793, 1.9100000000000001, -1.2534659130480312}","{-2.431592653589793, 2.01, -1.3446155957181647}","{-2.431592653589793, 2.11, -1.5130882321050092}","{-2.431592653589793, 2.21, -1.6799368525984248}","{-2.431592653589793, 2.31, -1.8116150375344906}","{-2.431592653589793, 2.41, -1.8648118684130168}","{-2.431592653589793, 2.51, -2.025989305833212}","{-2.431592653589793, 2.61, -2.151146378678988}","{-2.431592653589793, 2.71, -2.127612592088277}","{-2.431592653589793, 2.81, -2.2280108729392696}","{-2.431592653589793, 2.91, -2.215659988552888}","{-2.431592653589793, 3.01, -2.2556701877243768}","{-2.431592653589793, 3.11, -2.2388083271727837}"
"{-2.3315926535897935, 0.01, 0.1219904104252075}","{-2.3315926535897935, 0.11, 0.1444349394159699}","{-2.3315926535897935, 0.21000000000000002, 0.07786418103072182}","{-2.3315926535897935, 0.31000000000000005, 0.09599065355845268}","{-2.3315926535897935, 0.41000000000000003, 0.06422573561933137}","{-2.3315926535897935, 0.51, 0.04763047791423754}","{-2.3315926535897935, 0.6100000000000001, -0.07054034755553096}","{-2.3315926535897935, 0.7100000000000001, -0.10345756782145482}","{-2.3315926535897935, 0.81, -0.18535677676196144}","{-2.3315926535897935, 0.91, -0.2056686146540189}","{-2.3315926535897935, 1.01, -0.3313330096066818}","{-2.3315926535897935, 1.11, -0.4519812084911342}","{-2.3315926535897935, 1.2100000000000002, -0.5249929379231099}","{-2.3315926535897935, 1.31, -0.6615581852749337}","{-2.3315926535897935, 1.4100000000000001, -0.7517006739007819}","{-2.3315926535897935, 1.51, -0.9131987681735594}","{-2.3315926535897935, 1.61, -0.9924958249302751}","{-2.3315926535897935, 1.7100000000000002, -1.1737747871615882}","{-2.3315926535897935, 1.81, -1.3041628183248857}","{-2.3315926535897935, 1.9100000000000001, -1.406005801448924}","{-2.3315926535897935, 2.01, -1.5860685083967638}","{-2.3315926535897935, 2.11, -1.6806654655503603}","{-2.3315926535897935, 2.21, -1.7832183076883772}","{-2.3315926535897935, 2.31, -1.924924636943742}","{-2.3315926535897935, 2.41, -2.0221346003747307}","{-2.3315926535897935, 2.51, -2.0873918641847906}","{-2.3315926535897935, 2.61, -2.2141246392216374}","{-2.3315926535897935, 2.71, -2.2535735172161306}","{-2.3315926535897935, 2.81, -2.2659921117781554}","{-2.3315926535897935, 2.91, -2.23168786354593}","{-2.3315926535897935, 3.01, -2.3273806611389443}","{-2.3315926535897935, 3.11, -2.351788548463645}"
"{-2.2315926535897934, 0.01, 0.12110026028586399}","{-2.2315926535897934, 0.11, 0.11189531917618054}","{-2.2315926535897934, 0.21000000000000002, 0.08317686044935114}","{-2.2315926535897934, 0.31000000000000005, 0.06149730290320406}","{-2.2315926535897934, 0.41000000000000003, -0.010179242868365544}","{-2.2315926535897934, 0.51, -0.032535306752933514}","{-2.2315926535897934, 0.6100000000000001, -0.12002057438935379}","{-2.2315926535897934, 0.7100000000000001, -0.13242761824109447}","{-2.2315926535897934, 0.81, -0.2708839212867728}","{-2.2315926535897934, 0.91, -0.35036428724675467}","{-2.2315926535897934, 1.01, -0.45148636479281623}","{-2.2315926535897934, 1.11, -0.6078449116794244}","{-2.2315926535897934, 1.2100000000000002, -0.6701548169984508}","{-2.2315926535897934, 1.31, -0.7833029262968939}","{-2.2315926535897934, 1.4100000000000001, -0.9368653111383707}","{-2.2315926535897934, 1.51, -1.1075247237359607}","{-2.2315926535897934, 1.61, -1.230417265325574}","{-2.2315926535897934, 1.7100000000000002, -1.350388208686247}","{-2.2315926535897934, 1.81, -1.5278460559692322}","{-2.2315926535897934, 1.9100000000000001, -1.6434212361471983}","{-2.2315926535897934, 2.01, -1.7596105979441576}","{-2.2315926535897934, 2.11, -1.8568119860995314}","{-2.2315926535897934, 2.21, -1.9885263721133684}","{-2.2315926535897934, 2.31, -2.0868981565200064}","{-2.2315926535897934, 2.41, -2.2059819590421976}","{-2.2315926535897934, 2.51, -2.2343161781776493}","{-2.2315926535897934, 2.61, -2.204102492680704}","{-2.2315926535897934, 2.71, -2.277890395719985}","{-2.2315926535897934, 2.81, -2.385739399338295}","{-2.2315926535897934, 2.91, -2.322353729085806}","{-2.2315926535897934, 3.01, -2.3633448409822986}","{-2.2315926535897934, 3.11, -2.3521410481780354}"
