"{-3.1315926535897933, 0.01, 0.298186436749143}","{-3.1315926535897933, 0.21000000000000002, 0.310957374011405}","{-3.1315926535897933, 0.41000000000000003, 0.2617374905436357}","{-3.1315926535897933, 0.6100000000000001, 0.3036710053172347}","{-3.1315926535897933, 0.81, 0.36609975749720003}","{-3.1315926535897933, 1.01, 0.3997863532034798}","{-3.1315926535897933, 1.2100000000000002, 0.2582812459099987}","{-3.1315926535897933, 1.4100000000000001, 0.22842642454569131}","{-3.1315926535897933, 1.61, -0.002786037252647783}","{-3.1315926535897933, 1.81, -0.3451261912765935}","{-3.1315926535897933, 2.01, -0.6462574296560045}","{-3.1315926535897933, 2.21, -1.043273178810355}","{-3.1315926535897933, 2.41, -1.4967909924413985}","{-3.1315926535897933, 2.61, -1.7022111745078154}","{-3.1315926535897933, 2.81, -1.9657792669235168}","{-3.1315926535897933, 3.01, -2.172337818205337}"
"{-2.931592653589793, 0.01, 0.26015010980364706}","{-2.931592653589793, 0.21000000000000002, 0.2359750265913666}","{-2.931592653589793, 0.41000000000000003, 0.339118757565381}","{-2.931592653589793, 0.6100000000000001, 0.31041397221992545}","{-2.931592653589793, 0.81, 0.26665062476872936}","{-2.931592653589793, 1.01, 0.2933898730010184}","{-2.931592653589793, 1.2100000000000002, 0.22101613277487697}","{-2.931592653589793, 1.4100000000000001, 0.11470865594857854}","{-2.931592653589793, 1.61, -0.11729782463279115}","{-2.931592653589793, 1.81, -0.3572896464908656}","{-2.931592653589793, 2.01, -0.7393685175298416}","{-2.931592653589793, 2.21, -1.0760394708314125}","{-2.931592653589793, 2.41, -1.4981507386076327}","{-2.931592653589793, 2.61, -1.817249731482283}","{-2.931592653589793, 2.81, -2.0422420177138916}","{-2.931592653589793, 3.01, -2.2018228194940477}"
"{-2.7315926535897934, 0.01, 0.22038048748335942}","{-2.7315926535897934, 0.21000000000000002, 0.21196598002520572}","{-2.7315926535897934, 0.41000000000000003, 0.27069548895057816}","{-2.7315926535897934, 0.6100000000000001, 0.14286723377402444}","{-2.7315926535897934, 0.81, 0.1342231775377043}","{-2.7315926535897934, 1.01, 0.12585731629091165}","{-2.7315926535897934, 1.2100000000000002, 0.04923772849739421}","{-2.7315926535897934, 1.4100000000000001, -0.12382904286277277}","{-2.7315926535897934, 1.61, -0.28310080273633254}","{-2.7315926535897934, 1.81, -0.5986247929313043}","{-2.7315926535897934, 2.01, -0.9098559784184467}","{-2.7315926535897934, 2.21, -1.2498672138330176}","{-2.7315926535897934, 2.41, -1.6505288439358123}","{-2.7315926535897934, 2.61, -1.8498157957975494}","{-2.7315926535897934, 2.81, -2.087089162791944}","{-2.7315926535897934, 3.01, -2.191716022156827}"
"{-2.5315926535897932, 0.01, 0.20449489318211334}","{-2.5315926535897932, 0.21000000000000002, 0.1787371187056535}","{-2.5315926535897932, 0.41000000000000003, 0.13263205010598123}","{-2.5315926535897932, 0.6100000000000001, 0.08863191223030156}","{-2.5315926535897932, 0.81, 0.005090988194153823}","{-2.5315926535897932, 1.01, -0.11846425070947633}","{-2.5315926535897932, 1.2100000000000002, -0.2519260546994983}","{-2.5315926535897932, 1.4100000000000001, -0.4449224347893375}","{-2.5315926535897932, 1.61, -0.6209227461854789}","{-2.5315926535897932, 1.81, -0.9416357510828393}","{-2.5315926535897932, 2.01, -1.2326697126934305}","{-2.5315926535897932, 2.21, -1.5149637226903532}","{-2.5315926535897932, 2.41, -1.767957726924819}","{-2.5315926535897932, 2.61, -2.0506143492520064}","{-2.5315926535897932, 2.81, -2.192627206106659}","{-2.5315926535897932, 3.01, -2.230335229441697}"
"{-2.3315926535897935, 0.01, 0.14483019176692996}","{-2.3315926535897935, 0.21000000000000002, 0.11958276587026631}","{-2.3315926535897935, 0.41000000000000003, 0.05389751420726465}","{-2.3315926535897935, 0.6100000000000001, -0.04637467926269017}","{-2.3315926535897935, 0.81, -0.1417281578075713}","{-2.3315926535897935, 1.01, -0.34560937027166416}","{-2.3315926535897935, 1.2100000000000002, -0.5009255756534635}","{-2.3315926535897935, 1.4100000000000001, -0.775417743176682}","{-2.3315926535897935, 1.61, -0.9460798985208965}","{-2.3315926535897935, 1.81, -1.2911417750703416}","{-2.3315926535897935, 2.01, -1.5476720672941002}","{-2.3315926535897935, 2.21, -1.8576311929734417}","{-2.3315926535897935, 2.41, -2.0510346917541797}","{-2.3315926535897935, 2.61, -2.1705890654265927}","{-2.3315926535897935, 2.81, -2.2470524868343844}","{-2.3315926535897935, 3.01, -2.316973046821502}"
"{-2.1315926535897933, 0.01, 0.05755310455495581}","{-2.1315926535897933, 0.21000000000000002, 0.04854672650851142}","{-2.1315926535897933, 0.41000000000000003, -0.009811165964494453}","{-2.1315926535897933, 0.6100000000000001, -0.16658799222774717}","{-2.1315926535897933, 0.81, -0.3118897211080556}","{-2.1315926535897933, 1.01, -0.5531289956156669}","{-2.1315926535897933, 1.2100000000000002, -0.8268532589724098}","{-2.1315926535897933, 1.4100000000000001, -1.104908071113511}","{-2.1315926535897933, 1.61, -1.3704955904535203}","{-2.1315926535897933, 1.81, -1.6739208476085228}","{-2.1315926535897933, 2.01, -1.919073539483177}","{-2.1315926535897933, 2.21, -2.1206917049187135}","{-2.1315926535897933, 2.41, -2.2603486295413213}","{-2.1315926535897933, 2.61, -2.3439530990042607}","{-2.1315926535897933, 2.81, -2.3661164579728773}","{-2.1315926535897933, 3.01, -2.3943338219260752}"
"{-1.9315926535897932, 0.01, 0.008216621076066553}","{-1.9315926535897932, 0.21000000000000002, -0.019925385920417843}","{-1.9315926535897932, 0.41000000000000003, -0.1114966545008916}","{-1.9315926535897932, 0.6100000000000001, -0.26920119654925384}","{-1.9315926535897932, 0.81, -0.49181033846380184}","{-1.9315926535897932, 1.01, -0.719315596991696}","{-1.9315926535897932, 1.2100000000000002, -1.011850706612046}","{-1.9315926535897932, 1.4100000000000001, -1.4132448540179474}","{-1.9315926535897932, 1.61, -1.707832623930795}","{-1.9315926535897932, 1.81, -2.0202337170063824}","{-1.9315926535897932, 2.01, -2.204376934548452}","{-1.9315926535897932, 2.21, -2.4289068205611644}","{-1.9315926535897932, 2.41, -2.5125909868805154}","{-1.9315926535897932, 2.61, -2.494130632045326}","{-1.9315926535897932, 2.81, -2.4920588712959812}","{-1.9315926535897932, 3.01, -2.5251660720955638}"
"{-1.7315926535897932, 0.01, -0.09032015938761197}","{-1.7315926535897932, 0.21000000000000002, -0.11969735299807305}","{-1.7315926535897932, 0.41000000000000003, -0.2061271654818347}","{-1.7315926535897932, 0.6100000000000001, -0.31818583585687094}","{-1.7315926535897932, 0.81, -0.5463886588513939}","{-1.7315926535897932, 1.01, -0.8655092211169906}","{-1.7315926535897932, 1.2100000000000002, -1.1887102573863675}","{-1.7315926535897932, 1.4100000000000001, -1.6329076836849121}","{-1.7315926535897932, 1.61, -1.8933205989795276}","{-1.7315926535897932, 1.81, -2.342813067178101}","{-1.7315926535897932, 2.01, -2.545420514293142}","{-1.7315926535897932, 2.21, -2.646277895758284}","{-1.7315926535897932, 2.41, -2.705754539683661}","{-1.7315926535897932, 2.61, -2.7619037580038093}","{-1.7315926535897932, 2.81, -2.6859565915121904}","{-1.7315926535897932, 3.01, -2.641243391009427}"
"{-1.5315926535897932, 0.01, -0.17548099830025465}","{-1.5315926535897932, 0.21000000000000002, -0.1734291795812726}","{-1.5315926535897932, 0.41000000000000003, -0.25321464075841466}","{-1.5315926535897932, 0.6100000000000001, -0.3889572504403414}","{-1.5315926535897932, 0.81, -0.6438909181394389}","{-1.5315926535897932, 1.01, -0.9714144309792871}","{-1.5315926535897932, 1.2100000000000002, -1.348596864724687}","{-1.5315926535897932, 1.4100000000000001, -1.7873042710376734}","{-1.5315926535897932, 1.61, -2.181246255424285}","{-1.5315926535897932, 1.81, -2.5626756084883624}","{-1.5315926535897932, 2.01, -2.8017354883367798}","{-1.5315926535897932, 2.21, -2.949956534331906}","{-1.5315926535897932, 2.41, -2.9489546606132273}","{-1.5315926535897932, 2.61, -2.884963335288069}","{-1.5315926535897932, 2.81, -2.764807965699061}","{-1.5315926535897932, 3.01, -2.6234760618894537}"
"{-1.3315926535897933, 0.01, -0.2546726816392556}","{-1.3315926535897933, 0.21000000000000002, -0.264916668427007}","{-1.3315926535897933, 0.41000000000000003, -0.3436450791812574}","{-1.3315926535897933, 0.6100000000000001, -0.48583649141119223}","{-1.3315926535897933, 0.81, -0.7711204646791727}","{-1.3315926535897933, 1.01, -1.0823703033773562}","{-1.3315926535897933, 1.2100000000000002, -1.4870082623290681}","{-1.3315926535897933, 1.4100000000000001, -1.9500639522291148}","{-1.3315926535897933, 1.61, -2.4218065370308324}","{-1.3315926535897933, 1.81, -2.7810310572079313}","{-1.3315926535897933, 2.01, -2.9650967142846447}","{-1.3315926535897933, 2.21, -3.074294691816006}","{-1.3315926535897933, 2.41, -3.138514778691012}","{-1.3315926535897933, 2.61, -2.9724135741379962}","{-1.3315926535897933, 2.81, -2.8929187336320785}","{-1.3315926535897933, 3.01, -2.845159101115865}"
