"{0., 0., -0.5868041136883926}","{0., 0.3, -0.5784567480007978}","{0., 0.6, -0.4827409555548753}","{0., 0.8999999999999999, -0.4184748188007787}","{0., 1.2, -0.29525474601169654}","{0., 1.5, -0.18478632040209864}","{0., 1.7999999999999998, -0.0657798207237624}","{0., 2.1, 0.07342515711344133}","{0., 2.4, 0.1548053834425636}","{0., 2.6999999999999997, 0.2334504122442031}","{0., 3., 0.2531664894673451}","{0., 3.3, 0.25603465736628905}","{0., 3.5999999999999996, 0.24795377292119888}","{0., 3.9, 0.17394400585038183}","{0., 4.2, 0.06662433910676423}","{0., 4.5, -0.05773393924376298}","{0., 4.8, -0.17246948287205244}","{0., 5.1, -0.32340788776903684}","{0., 5.3999999999999995, -0.4206818438777133}","{0., 5.7, -0.5033870916204639}","{0., 6., -0.5520362729790096}"
"{0.3, 0., -0.7315943690425508}","{0.3, 0.3, -0.686159309599063}","{0.3, 0.6, -0.6446397207182641}","{0.3, 0.8999999999999999, -0.5720889498633928}","{0.3, 1.2, -0.4144936722411505}","{0.3, 1.5, -0.2616038427738013}","{0.3, 1.7999999999999998, -0.10363907913588341}","{0.3, 2.1, 0.0063216037160067715}","{0.3, 2.4, 0.1388834035398285}","{0.3, 2.6999999999999997, 0.2441406563831995}","{0.3, 3., 0.31895495896439974}","{0.3, 3.3, 0.3242777005217936}","{0.3, 3.5999999999999996, 0.24612916876907687}","{0.3, 3.9, 0.16230646070099253}","{0.3, 4.2, 0.02789910521452545}","{0.3, 4.5, -0.11443033490830991}","{0.3, 4.8, -0.267747644226037}","{0.3, 5.1, -0.40501487367537364}","{0.3, 5.3999999999999995, -0.5566019113598698}","{0.3, 5.7, -0.6158464870058377}","{0.3, 6., -0.7000660036483335}"
"{0.6, 0., -1.2297160235561058}","{0.6, 0.3, -1.1993597847397557}","{0.6, 0.6, -1.0867186888852542}","{0.6, 0.8999999999999999, -0.9282228583545439}","{0.6, 1.2, -0.7299238486936354}","{0.6, 1.5, -0.4721211543063366}","{0.6, 1.7999999999999998, -0.26995503418725475}","{0.6, 2.1, -0.09835990520076957}","{0.6, 2.4, 0.12345403982065466}","{0.6, 2.6999999999999997, 0.27125643591429993}","{0.6, 3., 0.3498045454179875}","{0.6, 3.3, 0.30456233128903615}","{0.6, 3.5999999999999996, 0.2155390410610195}","{0.6, 3.9, 0.10974373417582739}","{0.6, 4.2, -0.031714052230733404}","{0.6, 4.5, -0.3009678022481992}","{0.6, 4.8, -0.5105341200089147}","{0.6, 5.1, -0.7155706225605486}","{0.6, 5.3999999999999995, -0.949111740943205}","{0.6, 5.7, -1.0872637055410366}","{0.6, 6., -1.194692483250278}"
"{0.8999999999999999, 0., -1.9741199264211282}","{0.8999999999999999, 0.3, -1.8943109469114148}","{0.8999999999999999, 0.6, -1.7947352960732306}","{0.8999999999999999, 0.8999999999999999, -1.5608641327966117}","{0.8999999999999999, 1.2, -1.205108169110689}","{0.8999999999999999, 1.5, -0.8884265108029372}","{0.8999999999999999, 1.7999999999999998, -0.5419430576154203}","{0.8999999999999999, 2.1, -0.24054754264294903}","{0.8999999999999999, 2.4, 0.03980100727766815}","{0.8999999999999999, 2.6999999999999997, 0.2377184920022795}","{0.8999999999999999, 3., 0.33852030240926584}","{0.8999999999999999, 3.3, 0.3398542762670799}","{0.8999999999999999, 3.5999999999999996, 0.2278630933934685}","{0.8999999999999999, 3.9, 0.08469638654915859}","{0.8999999999999999, 4.2, -0.23457212593122}","{0.8999999999999999, 4.5, -0.5536140549388671}","{0.8999999999999999, 4.8, -0.9085748074356196}","{0.8999999999999999, 5.1, -1.2446189941905454}","{0.8999999999999999, 5.3999999999999995, -1.5119844308916555}","{0.8999999999999999, 5.7, -1.7883632244613359}","{0.8999999999999999, 6., -1.8930246248116605}"
"{1.2, 0., -2.7733004850284613}","{1.2, 0.3, -2.674832250675932}","{1.2, 0.6, -2.5488386470077984}","{1.2, 0.8999999999999999, -2.2097120464166524}","{1.2, 1.2, -1.8020032307399436}","{1.2, 1.5, -1.3620425875897362}","{1.2, 1.7999999999999998, -0.8838689997363696}","{1.2, 2.1, -0.4664559272844304}","{1.2, 2.4, -0.07660129744208768}","{1.2, 2.6999999999999997, 0.13628992975336762}","{1.2, 3., 0.2935189282508218}","{1.2, 3.3, 0.32817890047711396}","{1.2, 3.5999999999999996, 0.1778799362709162}","{1.2, 3.9, -0.10615533605044036}","{1.2, 4.2, -0.5319589631178827}","{1.2, 4.5, -0.8936984269392081}","{1.2, 4.8, -1.3725371705595921}","{1.2, 5.1, -1.774073006720128}","{1.2, 5.3999999999999995, -2.175134923016601}","{1.2, 5.7, -2.5151702307028403}","{1.2, 6., -2.6945340950953995}"
"{1.5, 0., -3.3788421984959176}","{1.5, 0.3, -3.336105000989063}","{1.5, 0.6, -3.110423093915411}","{1.5, 0.8999999999999999, -2.7163885665768537}","{1.5, 1.2, -2.3014664002164134}","{1.5, 1.5, -1.809019590479414}","{1.5, 1.7999999999999998, -1.2262028107572496}","{1.5, 2.1, -0.7664458425193754}","{1.5, 2.4, -0.2870556548911183}","{1.5, 2.6999999999999997, -0.006426968149294547}","{1.5, 3., 0.12931209529177262}","{1.5, 3.3, 0.12433121886236262}","{1.5, 3.5999999999999996, -0.06545094368680643}","{1.5, 3.9, -0.40272451520800256}","{1.5, 4.2, -0.7152772797381144}","{1.5, 4.5, -1.3220879319031185}","{1.5, 4.8, -1.7935924519846138}","{1.5, 5.1, -2.302561992914172}","{1.5, 5.3999999999999995, -2.7962534834122033}","{1.5, 5.7, -3.1615462813862787}","{1.5, 6., -3.3374897278775144}"
"{1.7999999999999998, 0., -3.6857617128784135}","{1.7999999999999998, 0.3, -3.611127926710659}","{1.7999999999999998, 0.6, -3.4217231404027806}","{1.7999999999999998, 0.8999999999999999, -3.05142857744061}","{1.7999999999999998, 1.2, -2.648650867997976}","{1.7999999999999998, 1.5, -2.0903938220617215}","{1.7999999999999998, 1.7999999999999998, -1.644629984602822}","{1.7999999999999998, 2.1, -1.11574200540454}","{1.7999999999999998, 2.4, -0.7361391661929654}","{1.7999999999999998, 2.6999999999999997, -0.41962164685198744}","{1.7999999999999998, 3., -0.3189738564637382}","{1.7999999999999998, 3.3, -0.3021601167868809}","{1.7999999999999998, 3.5999999999999996, -0.4154928591344302}","{1.7999999999999998, 3.9, -0.727778075287257}","{1.7999999999999998, 4.2, -1.175255693656217}","{1.7999999999999998, 4.5, -1.6498577253950453}","{1.7999999999999998, 4.8, -2.1346645029033993}","{1.7999999999999998, 5.1, -2.6891498534949356}","{1.7999999999999998, 5.3999999999999995, -3.0939987544204977}","{1.7999999999999998, 5.7, -3.4640074403267223}","{1.7999999999999998, 6., -3.670383639065808}"
"{2.0999999999999996, 0., -3.735349463405797}","{2.0999999999999996, 0.3, -3.6048958502984325}","{2.0999999999999996, 0.6, -3.488165482089407}","{2.0999999999999996, 0.8999999999999999, -3.1266104158911006}","{2.0999999999999996, 1.2, -2.7637699560736824}","{2.0999999999999996, 1.5, -2.3931618001408537}","{2.0999999999999996, 1.7999999999999998, -1.8770467256192287}","{2.0999999999999996, 2.1, -1.565715883970897}","{2.0999999999999996, 2.4, -1.1764005581960737}","{2.0999999999999996, 2.6999999999999997, -0.9406468509373822}","{2.0999999999999996, 3., -0.8177603846576972}","{2.0999999999999996, 3.3, -0.8524661747538334}","{2.0999999999999996, 3.5999999999999996, -0.9775226900080305}","{2.0999999999999996, 3.9, -1.2199718190898474}","{2.0999999999999996, 4.2, -1.569859622191773}","{2.0999999999999996, 4.5, -1.9689038361319815}","{2.0999999999999996, 4.8, -2.4277605266050175}","{2.0999999999999996, 5.1, -2.768880188529979}","{2.0999999999999996, 5.3999999999999995, -3.1808296590258713}","{2.0999999999999996, 5.7, -3.4862002727652235}","{2.0999999999999996, 6., -3.5167239763907636}"
"{2.4, 0., -3.4695541299907644}","{2.4, 0.3, -3.387799076484759}","{2.4, 0.6, -3.237222029779944}","{2.4, 0.8999999999999999, -3.127104584388165}","{2.4, 1.2, -2.8594719011935847}","{2.4, 1.5, -2.486507485859921}","{2.4, 1.7999999999999998, -2.2427786380624735}","{2.4, 2.1, -1.8880485602433263}","{2.4, 2.4, -1.7238065720714753}","{2.4, 2.6999999999999997, -1.4754047770317393}","{2.4, 3., -1.434048924460263}","{2.4, 3.3, -1.4311285102585953}","{2.4, 3.5999999999999996, -1.5347972418028188}","{2.4, 3.9, -1.66336068327903}","{2.4, 4.2, -1.948901237458808}","{2.4, 4.5, -2.224100355806951}","{2.4, 4.8, -2.5577699308526296}","{2.4, 5.1, -2.824137144759838}","{2.4, 5.3999999999999995, -3.1354220985062593}","{2.4, 5.7, -3.309992492501615}","{2.4, 6., -3.426681616962549}"
"{2.6999999999999997, 0., -3.3057120572274314}","{2.6999999999999997, 0.3, -3.3105670948596764}","{2.6999999999999997, 0.6, -3.1384767644648273}","{2.6999999999999997, 0.8999999999999999, -2.950522835836742}","{2.6999999999999997, 1.2, -2.858763031766008}","{2.6999999999999997, 1.5, -2.6351623757650797}","{2.6999999999999997, 1.7999999999999998, -2.4114707129783515}","{2.6999999999999997, 2.1, -2.229813150557707}","{2.6999999999999997, 2.4, -2.1081284116141505}","{2.6999999999999997, 2.6999999999999997, -1.963977824385171}","{2.6999999999999997, 3., -1.873538139149109}","{2.6999999999999997, 3.3, -1.9150662874126625}","{2.6999999999999997, 3.5999999999999996, -1.9257743542458188}","{2.6999999999999997, 3.9, -2.064096435126072}","{2.6999999999999997, 4.2, -2.2441502327988165}","{2.6999999999999997, 4.5, -2.4971207681942937}","{2.6999999999999997, 4.8, -2.6262826076783474}","{2.6999999999999997, 5.1, -2.854394476563592}","{2.6999999999999997, 5.3999999999999995, -3.055474400000189}","{2.6999999999999997, 5.7, -3.1635591255452233}","{2.6999999999999997, 6., -3.224955226506108}"
