"{0., 0., -1.4885492391200943}","{0., 0.3, -1.312542915472477}","{0., 0.6, -0.9019291171311307}","{0., 0.8999999999999999, -0.40289019742467974}","{0., 1.2, 0.08253882897200121}","{0., 1.5, 0.31859294178910724}","{0., 1.7999999999999998, 0.22649437802717354}","{0., 2.1, -0.16746959324294386}","{0., 2.4, -0.6835571848432282}","{0., 2.6999999999999997, -1.1443364508981655}","{0., 3., -1.427327277560686}","{0., 3.3, -1.433618754081979}","{0., 3.5999999999999996, -1.0854113934949483}","{0., 3.9, -0.6268993619370249}","{0., 4.2, -0.08733982794079623}","{0., 4.5, 0.21666373672065048}","{0., 4.8, 0.27359396523079105}","{0., 5.1, 0.047058841714089694}","{0., 5.3999999999999995, -0.405549685791903}","{0., 5.7, -0.9468269283310042}","{0., 6., -1.3408891986280913}"
"{0.3, 0., -1.1843477033503675}","{0.3, 0.3, -1.2059724827129972}","{0.3, 0.6, -0.979316391278987}","{0.3, 0.8999999999999999, -0.5576225697786611}","{0.3, 1.2, -0.07557394984161081}","{0.3, 1.5, 0.31549802632449714}","{0.3, 1.7999999999999998, 0.41409727631204857}","{0.3, 2.1, 0.290688005571112}","{0.3, 2.4, -0.14930194376297373}","{0.3, 2.6999999999999997, -0.6180223941693851}","{0.3, 3., -1.0473858913604204}","{0.3, 3.3, -1.265658045776974}","{0.3, 3.5999999999999996, -1.1523235021907474}","{0.3, 3.9, -0.773142662946446}","{0.3, 4.2, -0.23441614759473953}","{0.3, 4.5, 0.15834232859030786}","{0.3, 4.8, 0.3741525744088182}","{0.3, 5.1, 0.3649910693917341}","{0.3, 5.3999999999999995, 0.08550052455502058}","{0.3, 5.7, -0.37526036704410376}","{0.3, 6., -0.867438470019063}"
"{0.6, 0., -1.1469491395848208}","{0.6, 0.3, -1.371622055838643}","{0.6, 0.6, -1.342210610899422}","{0.6, 0.8999999999999999, -1.1033077036909726}","{0.6, 1.2, -0.7384826741584272}","{0.6, 1.5, -0.3073717162510424}","{0.6, 1.7999999999999998, -0.0660375980400569}","{0.6, 2.1, -0.020985810815508335}","{0.6, 2.4, -0.22829814136587434}","{0.6, 2.6999999999999997, -0.5952772204688551}","{0.6, 3., -0.9732176599737731}","{0.6, 3.3, -1.2981093983930634}","{0.6, 3.5999999999999996, -1.3968345031320224}","{0.6, 3.9, -1.2712678519421037}","{0.6, 4.2, -0.9121650689185418}","{0.6, 4.5, -0.4958012885393316}","{0.6, 4.8, -0.20127988503873373}","{0.6, 5.1, -0.03978391248727284}","{0.6, 5.3999999999999995, -0.15176418157220614}","{0.6, 5.7, -0.41919375198979825}","{0.6, 6., -0.8192908006804468}"
"{0.8999999999999999, 0., -1.5451151982983968}","{0.8999999999999999, 0.3, -1.8419240819057858}","{0.8999999999999999, 0.6, -2.0174930275796474}","{0.8999999999999999, 0.8999999999999999, -1.9139178486742336}","{0.8999999999999999, 1.2, -1.7037256958060425}","{0.8999999999999999, 1.5, -1.3968360752087314}","{0.8999999999999999, 1.7999999999999998, -1.1822921144441565}","{0.8999999999999999, 2.1, -1.012193796241455}","{0.8999999999999999, 2.4, -1.0638533340169076}","{0.8999999999999999, 2.6999999999999997, -1.2123334898536786}","{0.8999999999999999, 3., -1.4472900348821733}","{0.8999999999999999, 3.3, -1.7525174815752733}","{0.8999999999999999, 3.5999999999999996, -1.92040215911921}","{0.8999999999999999, 3.9, -1.911458980930227}","{0.8999999999999999, 4.2, -1.8353239281627665}","{0.8999999999999999, 4.5, -1.5793572867666477}","{0.8999999999999999, 4.8, -1.325951319941928}","{0.8999999999999999, 5.1, -1.0975529598638802}","{0.8999999999999999, 5.3999999999999995, -1.0228791351965003}","{0.8999999999999999, 5.7, -1.1034567386709193}","{0.8999999999999999, 6., -1.3769932189110023}"
"{1.2, 0., -2.4380116033621118}","{1.2, 0.3, -2.5794937345797013}","{1.2, 0.6, -2.72819668267174}","{1.2, 0.8999999999999999, -2.8490201844916285}","{1.2, 1.2, -2.7149847747061013}","{1.2, 1.5, -2.6289651938239835}","{1.2, 1.7999999999999998, -2.476209008026382}","{1.2, 2.1, -2.3390324842141563}","{1.2, 2.4, -2.2571392703642044}","{1.2, 2.6999999999999997, -2.2570863874981475}","{1.2, 3., -2.4128867709731106}","{1.2, 3.3, -2.6002459262007305}","{1.2, 3.5999999999999996, -2.6707005904093677}","{1.2, 3.9, -2.7881475005615757}","{1.2, 4.2, -2.817378153232675}","{1.2, 4.5, -2.7213954203632027}","{1.2, 4.8, -2.5136678618860353}","{1.2, 5.1, -2.381252073443698}","{1.2, 5.3999999999999995, -2.2821406708290723}","{1.2, 5.7, -2.197183448250045}","{1.2, 6., -2.3183489988264707}"
"{1.5, 0., -3.227033521392149}","{1.5, 0.3, -3.365058581079262}","{1.5, 0.6, -3.4215832199618217}","{1.5, 0.8999999999999999, -3.3682421097750126}","{1.5, 1.2, -3.366018560086958}","{1.5, 1.5, -3.3074400109714697}","{1.5, 1.7999999999999998, -3.2525944831847466}","{1.5, 2.1, -3.23067880308529}","{1.5, 2.4, -3.192562783933301}","{1.5, 2.6999999999999997, -3.2396473193840882}","{1.5, 3., -3.2580416504786447}","{1.5, 3.3, -3.2822488463102104}","{1.5, 3.5999999999999996, -3.3922856247678137}","{1.5, 3.9, -3.4040000901669094}","{1.5, 4.2, -3.4455530176765814}","{1.5, 4.5, -3.3866260218606445}","{1.5, 4.8, -3.2982618247656514}","{1.5, 5.1, -3.2601652535215147}","{1.5, 5.3999999999999995, -3.273691521179009}","{1.5, 5.7, -3.246689822800086}","{1.5, 6., -3.292737909027604}"
"{1.7999999999999998, 0., -3.775530280641524}","{1.7999999999999998, 0.3, -3.728316462784359}","{1.7999999999999998, 0.6, -3.702403151138592}","{1.7999999999999998, 0.8999999999999999, -3.659019944980084}","{1.7999999999999998, 1.2, -3.615340977931245}","{1.7999999999999998, 1.5, -3.46142288515658}","{1.7999999999999998, 1.7999999999999998, -3.301177993311211}","{1.7999999999999998, 2.1, -3.3442354074853533}","{1.7999999999999998, 2.4, -3.3866340028492528}","{1.7999999999999998, 2.6999999999999997, -3.568905665375288}","{1.7999999999999998, 3., -3.7262703291667867}","{1.7999999999999998, 3.3, -3.7917930461881766}","{1.7999999999999998, 3.5999999999999996, -3.762388644679275}","{1.7999999999999998, 3.9, -3.704761476743752}","{1.7999999999999998, 4.2, -3.5881576485672295}","{1.7999999999999998, 4.5, -3.426794209133525}","{1.7999999999999998, 4.8, -3.361452421136953}","{1.7999999999999998, 5.1, -3.3460056418771544}","{1.7999999999999998, 5.3999999999999995, -3.438966324767282}","{1.7999999999999998, 5.7, -3.508081683228272}","{1.7999999999999998, 6., -3.66150751599932}"
"{2.0999999999999996, 0., -3.495615360970481}","{2.0999999999999996, 0.3, -3.7494579805779082}","{2.0999999999999996, 0.6, -3.777094849824957}","{2.0999999999999996, 0.8999999999999999, -3.613212591107147}","{2.0999999999999996, 1.2, -3.421225257329092}","{2.0999999999999996, 1.5, -3.1243192219553064}","{2.0999999999999996, 1.7999999999999998, -2.9764167569151807}","{2.0999999999999996, 2.1, -2.853894585355553}","{2.0999999999999996, 2.4, -2.947112668411756}","{2.0999999999999996, 2.6999999999999997, -3.1255754220968903}","{2.0999999999999996, 3., -3.4665422273876425}","{2.0999999999999996, 3.3, -3.609965953572609}","{2.0999999999999996, 3.5999999999999996, -3.7074173500017213}","{2.0999999999999996, 3.9, -3.7426400817879544}","{2.0999999999999996, 4.2, -3.525970738899455}","{2.0999999999999996, 4.5, -3.2178004181795807}","{2.0999999999999996, 4.8, -2.9710895176455554}","{2.0999999999999996, 5.1, -2.8358457168946183}","{2.0999999999999996, 5.3999999999999995, -2.8216984590770013}","{2.0999999999999996, 5.7, -3.0048943964505703}","{2.0999999999999996, 6., -3.261533882902735}"
"{2.4, 0., -2.898123910880651}","{2.4, 0.3, -3.263138440002108}","{2.4, 0.6, -3.413429285143739}","{2.4, 0.8999999999999999, -3.4732672630252477}","{2.4, 1.2, -3.352458857817518}","{2.4, 1.5, -2.8831691270235487}","{2.4, 1.7999999999999998, -2.5383284503798222}","{2.4, 2.1, -2.3047919197610143}","{2.4, 2.4, -2.144746068599704}","{2.4, 2.6999999999999997, -2.3252391747061703}","{2.4, 3., -2.660928178672674}","{2.4, 3.3, -3.0749096626079835}","{2.4, 3.5999999999999996, -3.4188284956969532}","{2.4, 3.9, -3.5228891615942075}","{2.4, 4.2, -3.367348942774427}","{2.4, 4.5, -3.0565655963089453}","{2.4, 4.8, -2.70019672446614}","{2.4, 5.1, -2.360508901532153}","{2.4, 5.3999999999999995, -2.2086332915769873}","{2.4, 5.7, -2.2488925936252473}","{2.4, 6., -2.482737865073381}"
"{2.6999999999999997, 0., -2.24594099630825}","{2.6999999999999997, 0.3, -2.7132704905826626}","{2.6999999999999997, 0.6, -3.136912741539806}","{2.6999999999999997, 0.8999999999999999, -3.4018235596545496}","{2.6999999999999997, 1.2, -3.325332161870527}","{2.6999999999999997, 1.5, -3.1999898824099042}","{2.6999999999999997, 1.7999999999999998, -2.74174763859222}","{2.6999999999999997, 2.1, -2.345745986945803}","{2.6999999999999997, 2.4, -1.935059427080101}","{2.6999999999999997, 2.6999999999999997, -1.8796007670932822}","{2.6999999999999997, 3., -2.050678136051933}","{2.6999999999999997, 3.3, -2.4576914714985016}","{2.6999999999999997, 3.5999999999999996, -2.9188603251509964}","{2.6999999999999997, 3.9, -3.2869680926531606}","{2.6999999999999997, 4.2, -3.3962152575856113}","{2.6999999999999997, 4.5, -3.248929802666805}","{2.6999999999999997, 4.8, -2.9036585654292284}","{2.6999999999999997, 5.1, -2.4869890828943975}","{2.6999999999999997, 5.3999999999999995, -2.095377788407757}","{2.6999999999999997, 5.7, -1.8726249568496995}","{2.6999999999999997, 6., -1.9431136956968906}"
