"{0., 0., -2.3357497894040637}","{0., 0.3, -2.179750203734094}","{0., 0.6, -1.8418000097231029}","{0., 0.8999999999999999, -1.2944128903011194}","{0., 1.2, -0.8316080067472331}","{0., 1.5, -0.6319066531144532}","{0., 1.7999999999999998, -0.6502856257344299}","{0., 2.1, -1.0027863258488419}","{0., 2.4, -1.5361212083071205}","{0., 2.6999999999999997, -1.9834417209265216}","{0., 3., -2.321988322358512}","{0., 3.3, -2.316721054741355}","{0., 3.5999999999999996, -1.9851072318837688}","{0., 3.9, -1.4843835936395906}","{0., 4.2, -0.9974915914662583}","{0., 4.5, -0.6629974057599882}","{0., 4.8, -0.5939254831779697}","{0., 5.1, -0.803358925235379}","{0., 5.3999999999999995, -1.2802749623721223}","{0., 5.7, -1.7999145066293265}","{0., 6., -2.21530233131183}"
"{0.3, 0., -2.2599312415725397}","{0.3, 0.3, -2.274631104803997}","{0.3, 0.6, -2.0806650997514824}","{0.3, 0.8999999999999999, -1.6123904364180093}","{0.3, 1.2, -1.180084212715168}","{0.3, 1.5, -0.7802003696326796}","{0.3, 1.7999999999999998, -0.6725301967630991}","{0.3, 2.1, -0.8212806636357206}","{0.3, 2.4, -1.2525008695270234}","{0.3, 2.6999999999999997, -1.7033412570031201}","{0.3, 3., -2.209767776993902}","{0.3, 3.3, -2.297171219849991}","{0.3, 3.5999999999999996, -2.2003951870495992}","{0.3, 3.9, -1.8411494074736505}","{0.3, 4.2, -1.37420310968101}","{0.3, 4.5, -0.9241709034086383}","{0.3, 4.8, -0.7125216460794277}","{0.3, 5.1, -0.7093443673594088}","{0.3, 5.3999999999999995, -1.0533526508255695}","{0.3, 5.7, -1.468619978712187}","{0.3, 6., -1.9461660533404068}"
"{0.6, 0., -2.148895099292735}","{0.6, 0.3, -2.3005982738659565}","{0.6, 0.6, -2.316872154899432}","{0.6, 0.8999999999999999, -2.0924011998118965}","{0.6, 1.2, -1.6335887644430904}","{0.6, 1.5, -1.2670554775754013}","{0.6, 1.7999999999999998, -1.0188151428061003}","{0.6, 2.1, -0.967647359657372}","{0.6, 2.4, -1.128288302162584}","{0.6, 2.6999999999999997, -1.5281121547777434}","{0.6, 3., -1.936901771615871}","{0.6, 3.3, -2.2325514787674505}","{0.6, 3.5999999999999996, -2.315274607400973}","{0.6, 3.9, -2.236120546188528}","{0.6, 4.2, -1.8562530731500608}","{0.6, 4.5, -1.4651738471609317}","{0.6, 4.8, -1.1057021350463367}","{0.6, 5.1, -0.9668504659855097}","{0.6, 5.3999999999999995, -1.069721549751081}","{0.6, 5.7, -1.3816434492646923}","{0.6, 6., -1.7874948102180563}"
"{0.8999999999999999, 0., -2.167324517573287}","{0.8999999999999999, 0.3, -2.409193604239505}","{0.8999999999999999, 0.6, -2.533733643617456}","{0.8999999999999999, 0.8999999999999999, -2.4717153576505115}","{0.8999999999999999, 1.2, -2.296107138797082}","{0.8999999999999999, 1.5, -1.9797529858427696}","{0.8999999999999999, 1.7999999999999998, -1.7691574831014383}","{0.8999999999999999, 2.1, -1.6378008943367655}","{0.8999999999999999, 2.4, -1.6058508013526263}","{0.8999999999999999, 2.6999999999999997, -1.7781411750747802}","{0.8999999999999999, 3., -2.05465588154177}","{0.8999999999999999, 3.3, -2.3058323205231748}","{0.8999999999999999, 3.5999999999999996, -2.4941495147034916}","{0.8999999999999999, 3.9, -2.5529049387045575}","{0.8999999999999999, 4.2, -2.39712510218764}","{0.8999999999999999, 4.5, -2.1344765519673787}","{0.8999999999999999, 4.8, -1.8945176064322218}","{0.8999999999999999, 5.1, -1.659562749864738}","{0.8999999999999999, 5.3999999999999995, -1.5772384912683206}","{0.8999999999999999, 5.7, -1.6684943006647566}","{0.8999999999999999, 6., -1.9350164586513205}"
"{1.2, 0., -2.571292860711982}","{1.2, 0.3, -2.7664214125359035}","{1.2, 0.6, -2.9231486072773363}","{1.2, 0.8999999999999999, -2.9292095654791774}","{1.2, 1.2, -2.8994701938743055}","{1.2, 1.5, -2.7785109052319337}","{1.2, 1.7999999999999998, -2.615484217348706}","{1.2, 2.1, -2.507413760582181}","{1.2, 2.4, -2.430639920988402}","{1.2, 2.6999999999999997, -2.3958864191752482}","{1.2, 3., -2.6119354355632676}","{1.2, 3.3, -2.705966194237968}","{1.2, 3.5999999999999996, -2.91788775396391}","{1.2, 3.9, -3.0223966884211877}","{1.2, 4.2, -2.9809139883261233}","{1.2, 4.5, -2.879366972047651}","{1.2, 4.8, -2.7372092160335004}","{1.2, 5.1, -2.552511367360372}","{1.2, 5.3999999999999995, -2.4750283484357434}","{1.2, 5.7, -2.418810610358433}","{1.2, 6., -2.4631850965888287}"
"{1.5, 0., -3.296218256947988}","{1.5, 0.3, -3.4583216966306427}","{1.5, 0.6, -3.506637851705971}","{1.5, 0.8999999999999999, -3.5023345937753034}","{1.5, 1.2, -3.4704531979048117}","{1.5, 1.5, -3.4424307797559077}","{1.5, 1.7999999999999998, -3.3950999253471545}","{1.5, 2.1, -3.2888684728652535}","{1.5, 2.4, -3.287879147543779}","{1.5, 2.6999999999999997, -3.327226007709124}","{1.5, 3., -3.344000209507893}","{1.5, 3.3, -3.3884230839854723}","{1.5, 3.5999999999999996, -3.428570747919544}","{1.5, 3.9, -3.48362378094372}","{1.5, 4.2, -3.496332742899983}","{1.5, 4.5, -3.4451180957705914}","{1.5, 4.8, -3.345134194669259}","{1.5, 5.1, -3.3112641938332117}","{1.5, 5.3999999999999995, -3.299345088963534}","{1.5, 5.7, -3.2767702121062685}","{1.5, 6., -3.358090752013907}"
"{1.7999999999999998, 0., -4.05368959240412}","{1.7999999999999998, 0.3, -4.185970674605909}","{1.7999999999999998, 0.6, -4.12909580275925}","{1.7999999999999998, 0.8999999999999999, -4.008358218659569}","{1.7999999999999998, 1.2, -3.9200928038632723}","{1.7999999999999998, 1.5, -3.848805517971978}","{1.7999999999999998, 1.7999999999999998, -3.6673955851147264}","{1.7999999999999998, 2.1, -3.6679095501851307}","{1.7999999999999998, 2.4, -3.8259429333974753}","{1.7999999999999998, 2.6999999999999997, -3.8964788891322675}","{1.7999999999999998, 3., -3.958320004893249}","{1.7999999999999998, 3.3, -4.099515496133709}","{1.7999999999999998, 3.5999999999999996, -4.146386768972293}","{1.7999999999999998, 3.9, -4.045989999661151}","{1.7999999999999998, 4.2, -3.971583963589346}","{1.7999999999999998, 4.5, -3.769969152457639}","{1.7999999999999998, 4.8, -3.6739011590519484}","{1.7999999999999998, 5.1, -3.6586865255708534}","{1.7999999999999998, 5.3999999999999995, -3.6990012813854927}","{1.7999999999999998, 5.7, -3.825792801173257}","{1.7999999999999998, 6., -4.060034132502237}"
"{2.0999999999999996, 0., -4.1872570597504435}","{2.0999999999999996, 0.3, -4.381748142395626}","{2.0999999999999996, 0.6, -4.419372718919582}","{2.0999999999999996, 0.8999999999999999, -4.297406871732627}","{2.0999999999999996, 1.2, -4.072992645588372}","{2.0999999999999996, 1.5, -3.7613903376282116}","{2.0999999999999996, 1.7999999999999998, -3.5860158880204347}","{2.0999999999999996, 2.1, -3.463046892591757}","{2.0999999999999996, 2.4, -3.543322940327184}","{2.0999999999999996, 2.6999999999999997, -3.8135073442667586}","{2.0999999999999996, 3., -4.045876572155605}","{2.0999999999999996, 3.3, -4.2826856449272785}","{2.0999999999999996, 3.5999999999999996, -4.368120548383473}","{2.0999999999999996, 3.9, -4.406805536850154}","{2.0999999999999996, 4.2, -4.139042624090232}","{2.0999999999999996, 4.5, -3.9476659445795095}","{2.0999999999999996, 4.8, -3.63034086388726}","{2.0999999999999996, 5.1, -3.494454423629139}","{2.0999999999999996, 5.3999999999999995, -3.5556166863814243}","{2.0999999999999996, 5.7, -3.638725520802417}","{2.0999999999999996, 6., -3.905994255697039}"
"{2.4, 0., -3.588459487250372}","{2.4, 0.3, -3.889877179229301}","{2.4, 0.6, -4.069522009953894}","{2.4, 0.8999999999999999, -4.167868185147495}","{2.4, 1.2, -3.9905099035182277}","{2.4, 1.5, -3.6439235334353937}","{2.4, 1.7999999999999998, -3.249157418861589}","{2.4, 2.1, -2.9199496454829132}","{2.4, 2.4, -2.9106898932958}","{2.4, 2.6999999999999997, -3.0111573545265737}","{2.4, 3., -3.3623148189460355}","{2.4, 3.3, -3.680317127879091}","{2.4, 3.5999999999999996, -3.9722048227944633}","{2.4, 3.9, -4.2078158129345375}","{2.4, 4.2, -4.106995449295394}","{2.4, 4.5, -3.7366815996271496}","{2.4, 4.8, -3.3879449733393665}","{2.4, 5.1, -2.999918633546593}","{2.4, 5.3999999999999995, -2.843956484218641}","{2.4, 5.7, -2.928960242464979}","{2.4, 6., -3.188475088983785}"
"{2.6999999999999997, 0., -2.4689389964255226}","{2.6999999999999997, 0.3, -2.8631474828408727}","{2.6999999999999997, 0.6, -3.2913793352930965}","{2.6999999999999997, 0.8999999999999999, -3.5516389292894175}","{2.6999999999999997, 1.2, -3.558804972618306}","{2.6999999999999997, 1.5, -3.386613241782248}","{2.6999999999999997, 1.7999999999999998, -2.9180611086269588}","{2.6999999999999997, 2.1, -2.527529593484231}","{2.6999999999999997, 2.4, -2.214686510695322}","{2.6999999999999997, 2.6999999999999997, -2.1020337911724125}","{2.6999999999999997, 3., -2.3301343994511483}","{2.6999999999999997, 3.3, -2.665491748452239}","{2.6999999999999997, 3.5999999999999996, -3.1378260370484283}","{2.6999999999999997, 3.9, -3.502884911849961}","{2.6999999999999997, 4.2, -3.5604549560078427}","{2.6999999999999997, 4.5, -3.524615189671575}","{2.6999999999999997, 4.8, -3.1998668233858063}","{2.6999999999999997, 5.1, -2.6831365067690296}","{2.6999999999999997, 5.3999999999999995, -2.359992439510483}","{2.6999999999999997, 5.7, -2.148917820298557}","{2.6999999999999997, 6., -2.203698741824456}"
